algo,w,lam,mean_abs_pnl,mean_cost,std_abs_pnl,seed,status,timestamp,loss_type
rl_lossmse_w0.0001_l0.0001,0.0001,0.0001,0.23609668473179987,0.079369047619048,0.19916910205248695,6786,eval_done,2025-05-31 12:57:03,mse
rl_lossmse_w0.0001_l0.001,0.0001,0.001,0.24270763165608888,0.07944047619047616,0.15204077541103164,6886,eval_done,2025-05-31 14:40:51,mse
rl_lossmse_w0.0001_l0.01,0.0001,0.01,0.17477482094258412,0.0810595238095238,0.1465017204293425,6986,eval_done,2025-05-31 18:14:17,mse
rl_lossmse_w0.001_l0.0001,0.001,0.0001,0.22035452083333332,0.0,0.1836348340718511,7086,eval_done,2025-05-31 20:51:27,mse
rl_lossmse_w0.001_l0.001,0.001,0.001,0.18229221222685818,0.08730158730158727,0.13063818735943292,7186,eval_done,2025-06-01 00:27:59,mse
rl_lossmse_w0.001_l0.01,0.001,0.01,0.1857389510265323,0.08790476190476186,0.1647121147867855,7286,eval_done,2025-06-01 03:16:14,mse
rl_lossmse_w0.01_l0.0001,0.01,0.0001,0.2569428307017032,0.07939682539682537,0.21235191092008548,7386,eval_done,2025-06-01 05:22:36,mse
rl_lossmse_w0.01_l0.001,0.01,0.001,0.17752184254090259,0.0902896825396825,0.13184075099076903,7486,eval_done,2025-06-01 07:16:28,mse
rl_lossmse_w0.01_l0.01,0.01,0.01,0.18374798649176813,0.07980158730158728,0.19044728136556818,7586,eval_done,2025-06-01 10:57:25,mse
rl_lossmse_w0.05_l0.0001,0.05,0.0001,0.2525500362134788,0.07963888888888887,0.1916924632274396,7686,eval_done,2025-06-01 13:55:15,mse
rl_lossmse_w0.05_l0.001,0.05,0.001,0.21182573360876855,0.18616468253968255,0.1606294740419531,7786,eval_done,2025-06-01 17:23:28,mse
rl_lossmse_w0.05_l0.01,0.05,0.01,0.21009980863608976,0.08146825396825394,0.1760301065402478,7886,eval_done,2025-06-01 19:41:11,mse
rl_lossmse_w0.1_l0.0001,0.1,0.0001,0.185846638380957,0.0003273809523809523,0.14621914374906148,7986,eval_done,2025-06-01 22:50:10,mse
rl_lossmse_w0.1_l0.001,0.1,0.001,0.22485433536498975,0.07936507936507933,0.1879994225603972,8086,eval_done,2025-06-02 00:56:57,mse
rl_lossmse_w0.1_l0.01,0.1,0.01,0.2019831862972498,0.05117857142857143,0.1646706854826011,8186,eval_done,2025-06-02 04:59:50,mse
rl_lossmse_w0.2_l0.0001,0.2,0.0001,0.24899419550301688,0.12414285714285717,0.24143115279893196,8286,eval_done,2025-06-02 08:36:29,mse
rl_lossmse_w0.2_l0.001,0.2,0.001,0.20917770074868486,0.08499999999999998,0.16003267817620248,8386,eval_done,2025-06-02 10:58:17,mse
rl_lossmse_w0.2_l0.01,0.2,0.01,0.16211023184277518,0.07939285714285711,0.1424949378016727,8486,eval_done,2025-06-02 13:54:13,mse
rl_lossmse_w0.5_l0.0001,0.5,0.0001,0.21575244294433366,0.07936507936507933,0.1739125276474656,8586,eval_done,2025-06-02 15:59:17,mse
rl_lossmse_w0.5_l0.001,0.5,0.001,0.18385247881085423,0.0798690476190476,0.14164790114101403,8686,eval_done,2025-06-02 18:19:10,mse
rl_lossmse_w0.5_l0.01,0.5,0.01,0.201963816771813,0.07939682539682537,0.17607892530232744,8786,eval_done,2025-06-02 21:30:24,mse
rl_lossmse_w1_l0.0001,1.0,0.0001,0.1762616540619722,0.07936507936507933,0.13636430212401757,8886,eval_done,2025-06-03 01:32:19,mse
rl_lossmse_w1_l0.001,1.0,0.001,0.24200848738857064,0.11737103174603172,0.19942032461644935,8986,eval_done,2025-06-03 04:44:45,mse
rl_lossmse_w1_l0.01,1.0,0.01,0.20337140996484734,0.0005813492063492063,0.14565877289532314,9086,eval_done,2025-06-03 07:51:48,mse
rl_lossabs_w0.0001_l0.0001,0.0001,0.0001,0.19365069671381843,0.07936507936507933,0.1648579679954275,9186,eval_done,2025-06-03 10:05:05,abs
rl_lossabs_w0.0001_l0.001,0.0001,0.001,0.21371372331163016,0.08170634920634919,0.1591590957678173,9286,eval_done,2025-06-03 12:07:45,abs
rl_lossabs_w0.0001_l0.01,0.0001,0.01,0.19271905075533247,0.07182738095238095,0.16005766439507305,9386,eval_done,2025-06-03 16:53:13,abs
rl_lossabs_w0.001_l0.0001,0.001,0.0001,0.21788036765753152,0.09085714285714282,0.1876872738030717,9486,eval_done,2025-06-03 21:12:33,abs
rl_lossabs_w0.001_l0.001,0.001,0.001,0.24002201614927404,0.084031746031746,0.19371630315850824,9586,eval_done,2025-06-04 01:10:47,abs
rl_lossabs_w0.001_l0.01,0.001,0.01,0.21470529020531326,0.12280952380952379,0.16661031117118658,9686,eval_done,2025-06-04 04:32:09,abs
rl_lossabs_w0.01_l0.0001,0.01,0.0001,0.21154459216008703,0.200531746031746,0.16209969407802052,9786,eval_done,2025-06-04 07:22:50,abs
rl_lossabs_w0.01_l0.001,0.01,0.001,0.2573723683406644,0.07936507936507933,0.2086824682565235,9886,eval_done,2025-06-04 10:38:59,abs
rl_lossabs_w0.01_l0.01,0.01,0.01,0.1915096251590282,8.53174603174603e-05,0.1651998034852463,9986,eval_done,2025-06-04 13:01:36,abs
rl_lossabs_w0.05_l0.0001,0.05,0.0001,0.20445501022418155,0.14593650793650792,0.16507975683897488,10086,eval_done,2025-06-04 15:58:08,abs
rl_lossabs_w0.05_l0.001,0.05,0.001,0.19202539259359572,0.08092063492063492,0.1610159544769964,10186,eval_done,2025-06-04 18:23:27,abs
rl_lossabs_w0.05_l0.01,0.05,0.01,0.20766463629222898,3.1746031746031745e-05,0.15253187194347295,10286,eval_done,2025-06-04 21:58:13,abs
rl_lossabs_w0.1_l0.0001,0.1,0.0001,0.21301943806635587,0.12015079365079366,0.1958574761173047,10386,eval_done,2025-06-05 01:24:30,abs
rl_lossabs_w0.1_l0.001,0.1,0.001,0.17821484763774,0.08120634920634918,0.14624577343791528,10486,eval_done,2025-06-05 04:50:18,abs
rl_lossabs_w0.1_l0.01,0.1,0.01,0.20012824347384706,1.984126984126984e-06,0.1817716429175173,10586,eval_done,2025-06-05 07:56:52,abs
rl_lossabs_w0.2_l0.0001,0.2,0.0001,0.18730593596022282,0.1651527777777778,0.16060177718534877,10686,eval_done,2025-06-05 10:18:48,abs
rl_lossabs_w0.2_l0.001,0.2,0.001,0.21482534005891857,0.12970634920634921,0.20098307736899673,10786,eval_done,2025-06-05 13:00:00,abs
rl_lossabs_w0.2_l0.01,0.2,0.01,0.18232961718943666,0.0006329365079365079,0.16187584280470493,10886,eval_done,2025-06-05 17:12:50,abs
rl_lossabs_w0.5_l0.0001,0.5,0.0001,0.13518640615938657,0.0793968253968254,0.10726910619524808,10986,eval_done,2025-06-05 20:11:51,abs
rl_lossabs_w0.5_l0.001,0.5,0.001,0.19520627709654575,0.1603690476190476,0.15992936866993995,11086,eval_done,2025-06-05 23:13:24,abs
rl_lossabs_w0.5_l0.01,0.5,0.01,0.20887094933027053,0.008964285714285708,0.1605217403764227,11186,eval_done,2025-06-06 02:41:08,abs
rl_lossabs_w1_l0.0001,1.0,0.0001,0.20236978232932512,0.3588055555555554,0.1715193782241094,11286,eval_done,2025-06-06 06:21:59,abs
rl_lossabs_w1_l0.001,1.0,0.001,0.1939715767233179,0.08593253968253965,0.1764269970234085,11386,eval_done,2025-06-06 08:44:48,abs
rl_lossabs_w1_l0.01,1.0,0.01,0.2034219669187691,0.08789880952380956,0.15846423764492384,11486,eval_done,2025-06-06 10:57:23,abs
